test_image,best_train_match,ransac_inliers,verdict,above_threshold_25,score_provenance
tooth_discolation-573-_jpeg.rf.1bb675211f60143533cfd67b8d43f46d.jpg,tooth_discolation-1225-_jpeg.rf.3bd355ce56fcaca0d4120779fe9813ae.jpg,356,duplicate,yes,original_run
caries-1770-_jpeg.rf.48687fa204e1725dd5f33283911f9ea4.jpg,caries-148-_jpeg.rf.47cc9b6755fe3ae30d1ce1d9a408a474.jpg,339,duplicate,yes,original_run
gingivitis-210-_jpg.rf.62308790ba09ae512f5d13afede9a53d.jpg,gingi-534-copy_jpg.rf.c4029849a2be5abca0f8f110b7400d61.jpg,300,duplicate,yes,original_run
caries-203-_jpeg.rf.38c20adc71553536e5da0e5119e898a4.jpg,caries-2153-_jpeg.rf.cb46bdb24fb9f8964da190c263631084.jpg,274,duplicate,yes,original_run
caries-359-_jpeg.rf.7b21ba797bee62cbb48469acca7cdab1.jpg,caries-1437-_jpeg.rf.af5881fad5eb5817979a1c51421597a1.jpg,259,duplicate,yes,original_run
tooth_discolation-38-_jpeg.rf.031ac8f27cf6f5ca99342bfe26d693a0.jpg,tooth_discolation-178-_jpeg.rf.f73495a44976d1b71ec0372f6322ebab.jpg,255,duplicate,yes,original_run
caries-895-_jpeg.rf.7f2175d40592bad7f4e26c767d40b9bd.jpg,caries-2109-_jpeg.rf.95d0cb9c40819bfdd6db4a196efab6f1.jpg,251,duplicate,yes,original_run
tooth_discolation-456-_jpeg.rf.b7adcf5a0bd231bd86e4720feedbffcc.jpg,tooth_discolation-57-_jpeg.rf.1218312d281108e73d10bb58eba3ee9f.jpg,250,duplicate,yes,original_run
caries-1273-_jpeg.rf.3f4e56112ee51dc9dd61867a8754d23c.jpg,caries-710-_jpeg.rf.1ff342f0ec5db97f018299992032281e.jpg,246,duplicate,yes,original_run
caries-719-_jpeg.rf.1f22e9f3d1b3dbfbd1393c1c477f13cb.jpg,caries-1368-_jpeg.rf.6f769ea9dd661c5fd71eee1fb09b1876.jpg,236,duplicate,yes,original_run
tooth_discolation-474-_jpeg.rf.e80062447f411aa98ea13d79fefe9d14.jpg,tooth_discolation-88-_jpeg.rf.b5c10a4cc5aad2f1faf4c45326a4c526.jpg,236,duplicate,yes,original_run
