test_image,train_image,rms_distance,test_source,train_source
gingi-354-copy_jpg.rf.622409a1a29abc28a5736a6821fbd4f4.jpg,gingi-410-copy_jpg.rf.cee6cdbf5ee34e0bf13e590fd12d0215.jpg,1.0097,gingi-354-copy_jpg,gingi-410-copy_jpg
gingivitis-2212-_jpg.rf.870970e4572e2b40941959f3a5945b92.jpg,gingivitis-124-_jpg.rf.827de423c96c422071c4e97cc1203971.jpg,1.0193,gingivitis-2212-_jpg,gingivitis-124-_jpg
calculus-66-_jpg.rf.8ca07c98e233f580b8032379f16a2eca.jpg,gingivitis-2217-_jpg.rf.a2e959cbd5c2764ba6633bdb1185de41.jpg,1.0308,calculus-66-_jpg,gingivitis-2217-_jpg
hypodontia-1185-_JPG.rf.43bfe9610e4e8a9825437428233e1dc7.jpg,hypodontia-73-_JPG.rf.e417e743dd9a4b791be96658e790cba3.jpg,1.0346,hypodontia-1185-_JPG,hypodontia-73-_JPG
gingi-403-copy_jpg.rf.afc36dcaa13395b5f4b3c7d7d9c99c8d.jpg,gingi-353-copy_jpg.rf.e128344e851031f5a5ee5acbb25dd535.jpg,1.0607,gingi-403-copy_jpg,gingi-353-copy_jpg
hypodontia-1228-_jpg.rf.f5401387e621ed5827b6dbb60a6c85f5.jpg,hypodontia-116-_jpg.rf.62de05d0c4ae9c120023047ea92b0f73.jpg,1.0717,hypodontia-1228-_jpg,hypodontia-116-_jpg
gingivitis-2268-_jpg.rf.fe502a940e2c14de41d88d08e885753c.jpg,gingivitis-180-_jpg.rf.884b7592746f33e9693e6d8f31b8d456.jpg,1.0897,gingivitis-2268-_jpg,gingivitis-180-_jpg
gingilagi-289-_jpg.rf.541b47807ac100ac931d8ad3b2ca5bb2.jpg,gingilagi-290-_jpg.rf.5fe4eae07a33f96735825a36c3d0af5d.jpg,1.1040,gingilagi-289-_jpg,gingilagi-290-_jpg
calculus-101-_jpg.rf.feb0ba2b80bef770be404833be6bce83.jpg,calculus-1291-_jpg.rf.f37e3b149b6266e62bae751726edc5f6.jpg,1.1128,calculus-101-_jpg,calculus-1291-_jpg
gingivitis-2342-_jpg.rf.9757b74aa5f6f8ef5f370d36366f7c7f.jpg,gingivitis-254-_jpg.rf.1a9889e1f078f020ba3c546382fd556b.jpg,1.1250,gingivitis-2342-_jpg,gingivitis-254-_jpg
gingivitis-21-_jpg.rf.62b265db32cf0521ac3545866bf7496d.jpg,gingivitis-2113-_jpg.rf.35cdd5d6d65ba1da8d7fdbbeb20cfc36.jpg,1.1541,gingivitis-21-_jpg,gingivitis-2113-_jpg
calculus-30-_jpg.rf.cc66d1cd34e1b5e8b423937cafd7327c.jpg,calculus-1182-_jpg.rf.fe4a67034fac5c3dd63316aeee2b3636.jpg,1.1859,calculus-30-_jpg,calculus-1182-_jpg
calculus-1235-_jpg.rf.110c26290f7ff1e2522a0c05b9b2f2dc.jpg,calculus-83-_jpg.rf.bb16e5abc93d3b3bcc137c9bfde67095.jpg,1.2885,calculus-1235-_jpg,calculus-83-_jpg
hypodontia-1243-_JPG.rf.13958425d7d5a358a50eb25cfb940710.jpg,hypodontia-131-_JPG.rf.4f6048f6e43d7c1ac0fa76b2f421211a.jpg,1.3405,hypodontia-1243-_JPG,hypodontia-131-_JPG
gingivitis-2295-_jpg.rf.8d6d0d04e02696811d1249f694779b4c.jpg,gingivitis-207-_jpg.rf.059c11d79c9d484e95cb81cb1f477f77.jpg,1.3521,gingivitis-2295-_jpg,gingivitis-207-_jpg
hypodontia-1119-_JPG.rf.2cc48a8786609c37e93ec6398ec62157.jpg,hypodontia-7-_JPG.rf.e93862d877f4feea90a76ca910cf4732.jpg,1.3665,hypodontia-1119-_JPG,hypodontia-7-_JPG
