test_image,train_image,matching_transform,thumb_z_rms,full_res_z_rms,pearson_r,verified_full_res
calculus-417-_jpg.rf.6d819ddc49797d7e88af2a538493a592.jpg,gingivitis-2297-_jpg.rf.a083f4bdbd6a23a7f2bf8751b29e5709.jpg,identity,0.10430720448493958,0.15875184917049234,0.9873989251924744,yes
gingivitis-722-_jpg.rf.d92093e8bc67a3e3d5d6517f0a0aa836.jpg,gingivitis-2293-_jpg.rf.3b22c248c2f0ed9c2cda67f0c054ae32.jpg,identity,0.10620369762182236,0.1304113244665694,0.9914964432254358,yes
hypodontia-195-_JPG.rf.13d55272ac018908161f6c2464631902.jpg,hypodontia-612-_JPG.rf.467fe68b027aae9958aaa4a07120f727.jpg,hflip,0.10831647366285324,0.14311944026623344,0.9897584129089397,yes
gingivitis-560-_jpg.rf.92bbb4d37fd1331bf9cc7c238f132d82.jpg,gingivitis-1356-_jpg.rf.f1813d1d7a0a1d1090b1e77e8bd7ade0.jpg,vflip,0.1086839884519577,0.13544833715038132,0.9908268739815976,yes
gingilagi-56-_jpg.rf.902f1bfc1200fab7fd466eb1d6bddf62.jpg,calculus-631-_jpg.rf.04170166952bde86976a17db6e2a3abc.jpg,hflip,0.11201399564743042,0.13565433478704464,0.9907989507267438,yes
gingivitis-561-_jpg.rf.56512011be8ce472e198379cc5e61bf1.jpg,gingivitis-1081-_jpg.rf.2d033d22e35c288b7970cb387802f410.jpg,hflip,0.11331228911876678,0.14577442252147818,0.9893749088692648,yes
gingivitis-1154-_jpg.rf.be92046db7d15407d11b368a3db2c782.jpg,gingivitis-358-_jpg.rf.ac38ed5ead9f4d5efc9e162fa1941fee.jpg,hflip,0.11507029086351395,0.13240468115151308,0.9912345002045844,yes
gingivitis-619-_jpg.rf.1109f801d264b8531c9fd614aa60e7d1.jpg,gingivitis-1415-_jpg.rf.0a227d3fc89f1793b67e713b7e173643.jpg,vflip,0.1151319146156311,0.1528673785972428,0.9883157822804062,yes
gingivitis-100-_jpg.rf.9f657835536420b9283d737fa67ded96.jpg,gingivitis-358-_jpg.rf.ac38ed5ead9f4d5efc9e162fa1941fee.jpg,identity,0.11537910997867584,0.1322766577099006,0.9912514429125506,yes
gingi-452-copy_jpg.rf.74789a0ab02843560f873ebd7947b134.jpg,gingilagi-214-_jpg.rf.fa75c2243cb5da2a5a1484d970dc1eae.jpg,identity,0.11555720120668411,0.13731048962095216,0.9905729147200302,yes
gingivitis-793-_jpg.rf.093398f8252251eae5e119661f11242b.jpg,gingivitis-533-_jpg.rf.7793d9802030dcfb2ab86920c4765197.jpg,identity,0.11603128165006638,0.15489737689013372,0.9880034013162794,yes
gingivitis-337-_jpg.rf.b46499b2e7a45ed3cc0e98975365bc1a.jpg,gingivitis-79-_jpg.rf.cd7ff206bf14577f96430267faa4290f.jpg,identity,0.1169532984495163,0.1374325004741686,0.9905561539067081,yes
gingilagi-86-_jpg.rf.0c4e43fe2b6de417ff0100b9bc42d765.jpg,gingivitis-2306-_jpg.rf.3a1d37966a1bc0d46bd2a53375c12a26.jpg,identity,0.11812774091959,0.18628270258283522,0.9826493773592183,yes
gingivitis-771-_jpg.rf.556be6c0745f9945cf3499ad00dc74fc.jpg,gingivitis-254-_jpg.rf.1a9889e1f078f020ba3c546382fd556b.jpg,identity,0.11830874532461166,0.142703225348097,0.989817894737624,yes
gingi-206-copy_jpg.rf.7eefd4dcd5957c6e96b6a40e05e2f11d.jpg,gingi-397-copy_jpg.rf.104c9b6cee5646e134f794f594b6e8a8.jpg,identity,0.12066624313592911,0.12809848443257127,0.9917953891430394,yes
calculus-183-_jpg.rf.3e216ae4ce72ea085fc2b10adb84335d.jpg,calculus-615-_jpg.rf.f0e8ba4cbe22bfef513b4b62a0403cc2.jpg,hflip,0.12120641767978668,0.14703919765259948,0.989189737176841,yes
calculus-416-_jpg.rf.0bb1de995892bcaa87e74280ea347ca1.jpg,calculus-1280-_jpg.rf.6918ba07725b39992c4ce6107501abf3.jpg,identity,0.12275686115026474,0.1721153232625774,0.9851881577491092,yes
hypodontia-386-_jpg.rf.295d11339a3c1094c1486189bf6039e2.jpg,hypodontia-664-_jpg.rf.3713e3492cf257d9913ab6a7bfcb31ed.jpg,hflip,0.12352164834737778,0.15003138808707525,0.9887452912943321,yes
hypodontia-353-_JPG.rf.cbe7346efff32b0900ed92eb5caeea53.jpg,hypodontia-75-_JPG.rf.3366ee1eb6949fd85d8713c71aa04c82.jpg,identity,0.12436994165182114,0.1582929962464572,0.9874716636696614,yes
hypodontia-724-_JPG.rf.a7702f1f588c26826550049f9d439b21.jpg,hypodontia-168-_JPG.rf.b0ea6ec1b0d080e9e5fe5a01c1fcd866.jpg,vflip,0.1248415932059288,0.1439002608727807,0.9896463574603723,yes
hypodontia-29-_JPG.rf.22405bd7cf2441574a6bd56e0dbb66fe.jpg,hypodontia-168-_JPG.rf.b0ea6ec1b0d080e9e5fe5a01c1fcd866.jpg,identity,0.12532097101211548,0.14217674362615068,0.9898928867859333,yes
calcu-652-copy_jpg.rf.9650aa6dd7ed778a9e022b71e232ef5b.jpg,calcu-367-copy_jpg.rf.6a0a350b33cf991c194b40b4e1b4e525.jpg,vflip,0.1253495067358017,0.2001929408470215,0.9799613932175095,yes
hypodontia-392-_JPG.rf.b5cfd3858ba2cc23e15f7e369bc6985a.jpg,hypodontia-670-_JPG.rf.0dcefa8d7513b15a5e0920e997c31447.jpg,hflip,0.12561361491680145,0.16404826659856275,0.9865440831130057,yes
gingivitis-720-_jpg.rf.4c4daa1fbc6508c69c78a4c8432fbaad.jpg,calculus-24-_jpg.rf.b5cb8b06efb274be3ced07fd1978fee7.jpg,identity,0.12724341452121735,0.1540444472971226,0.9881351541284618,yes
